TimeStep,Agent_ID,Current_X,Current_Y,Goal_X,Goal_Y,Battery_Level,Urgency_Score,Total_Priority,Status
0,0,11,6,7,18,18.0,164.0,164.0,Active
0,1,29,9,1,16,80.0,40.0,40.0,Active
0,2,9,0,13,21,69.0,62.0,62.0,Active
0,3,11,16,18,18,49.0,102.0,102.0,Active
0,4,3,26,7,15,49.0,102.0,102.0,Active
0,5,23,1,6,14,88.0,24.0,24.0,Active
0,6,19,21,27,4,17.0,166.0,166.0,Active
0,7,24,0,0,29,73.0,54.0,54.0,Active
0,8,29,10,25,9,28.0,144.0,144.0,Active
0,9,1,12,10,22,18.0,164.0,164.0,Active
0,10,31,30,15,19,57.0,86.0,86.0,Active
0,11,21,20,11,24,98.0,4.0,4.0,Active
0,12,0,17,18,1,76.0,48.0,48.0,Active
0,13,13,6,0,27,79.0,42.0,42.0,Active
0,14,11,26,29,8,75.0,50.0,50.0,Active
0,15,8,28,15,5,81.0,38.0,38.0,Active
0,16,29,14,22,16,56.0,88.0,88.0,Active
0,17,31,0,15,7,21.0,158.0,158.0,Active
0,18,22,13,29,20,86.0,28.0,28.0,Active
0,19,22,15,4,17,50.0,100.0,100.0,Active
0,20,22,10,28,31,55.0,90.0,90.0,Active
0,21,6,15,25,21,43.0,114.0,114.0,Active
0,22,27,24,0,30,26.0,148.0,148.0,Active
0,23,23,4,14,4,94.0,12.0,12.0,Active
0,24,19,13,13,28,81.0,38.0,38.0,Active
0,25,21,16,24,29,68.0,64.0,64.0,Active
0,26,15,11,27,7,46.0,108.0,108.0,Active
0,27,31,13,4,7,84.0,32.0,32.0,Active
0,28,24,15,21,6,59.0,82.0,82.0,Active
0,29,31,31,1,11,50.0,100.0,100.0,Active
0,30,31,28,4,18,50.0,100.0,100.0,Active
0,31,12,5,20,0,30.0,140.0,140.0,Active
0,32,2,12,31,25,18.0,164.0,164.0,Active
0,33,17,11,24,8,60.0,80.0,80.0,Active
0,34,9,15,12,10,90.0,20.0,20.0,Active
0,35,19,18,5,18,15.0,170.0,170.0,Active
0,36,25,20,0,26,88.0,24.0,24.0,Active
0,37,13,14,1,4,85.0,30.0,30.0,Active
0,38,17,8,6,2,35.0,130.0,130.0,Active
0,39,22,31,11,18,67.0,66.0,66.0,Active
0,40,5,23,13,5,25.0,150.0,150.0,Active
0,41,27,17,5,5,78.0,44.0,44.0,Active
0,42,2,6,9,22,73.0,54.0,54.0,Active
0,43,25,4,25,10,42.0,116.0,116.0,Active
0,44,24,22,18,31,16.0,168.0,168.0,Active
0,45,24,31,14,29,98.0,4.0,4.0,Active
0,46,10,7,27,0,50.0,100.0,100.0,Active
0,47,18,26,7,23,91.0,18.0,18.0,Active
0,48,26,20,30,20,71.0,58.0,58.0,Active
0,49,16,1,7,8,80.0,40.0,40.0,Active
1,0,11,7,7,18,17.5,165.0,166.0,Active
1,1,28,9,1,16,79.5,41.0,42.0,Active
1,2,10,0,13,21,68.5,63.0,64.0,Active
1,3,12,16,18,18,48.5,103.0,104.0,Active
1,4,3,25,7,15,48.5,103.0,104.0,Active
1,5,23,2,6,14,87.5,25.0,26.0,Active
1,6,20,21,27,4,16.5,167.0,168.0,Active
1,7,23,0,0,29,72.5,55.0,56.0,Active
1,8,28,10,25,9,27.5,145.0,146.0,Active
1,9,1,13,10,22,17.5,165.0,166.0,Active
1,10,31,29,15,19,56.5,87.0,88.0,Active
1,11,20,20,11,24,97.5,5.0,6.0,Active
1,12,1,17,18,1,75.5,49.0,50.0,Active
1,13,13,7,0,27,78.5,43.0,44.0,Active
1,14,11,25,29,8,74.5,51.0,52.0,Active
1,15,9,28,15,5,80.5,39.0,40.0,Active
1,16,28,14,22,16,55.5,89.0,90.0,Active
1,17,30,0,15,7,20.5,159.0,160.0,Active
1,18,23,13,29,20,85.5,29.0,30.0,Active
1,19,21,15,4,17,49.5,101.0,102.0,Active
1,20,22,11,28,31,54.5,91.0,92.0,Active
1,21,7,15,25,21,42.5,115.0,116.0,Active
1,22,27,25,0,30,25.5,149.0,150.0,Active
1,23,22,4,14,4,93.5,13.0,14.0,Active
1,24,19,14,13,28,80.5,39.0,40.0,Active
1,25,21,17,24,29,67.5,65.0,66.0,Active
1,26,15,10,27,7,45.5,109.0,110.0,Active
1,27,31,14,4,7,83.5,33.0,34.0,Active
1,28,23,15,21,6,58.5,83.0,84.0,Active
1,29,30,31,1,11,49.5,101.0,102.0,Active
1,30,30,28,4,18,49.5,101.0,102.0,Active
1,31,12,4,20,0,29.5,141.0,142.0,Active
1,32,2,13,31,25,17.5,165.0,166.0,Active
1,33,18,11,24,8,59.5,81.0,82.0,Active
1,34,10,15,12,10,89.5,21.0,22.0,Active
1,35,19,17,5,18,14.5,171.0,172.0,Active
1,36,25,21,0,26,87.5,25.0,26.0,Active
1,37,13,13,1,4,84.5,31.0,32.0,Active
1,38,17,7,6,2,34.5,131.0,132.0,Active
1,39,21,31,11,18,66.5,67.0,68.0,Active
1,40,6,23,13,5,24.5,151.0,152.0,Active
1,41,26,17,5,5,77.5,45.0,46.0,Active
1,42,3,6,9,22,72.5,55.0,56.0,Active
1,43,25,5,25,10,41.5,117.0,118.0,Active
1,44,24,23,18,31,15.5,169.0,170.0,Active
1,45,24,30,14,29,97.5,5.0,6.0,Active
1,46,10,6,27,0,49.5,101.0,102.0,Active
1,47,17,26,7,23,90.5,19.0,20.0,Active
1,48,27,20,30,20,70.5,59.0,60.0,Active
1,49,15,1,7,8,79.5,41.0,42.0,Active
2,0,10,7,7,18,17.0,166.0,168.0,Active
2,1,28,10,1,16,79.0,42.0,44.0,Active
2,2,10,1,13,21,68.0,64.0,66.0,Active
2,3,13,16,18,18,48.0,104.0,106.0,Active
2,4,4,25,7,15,48.0,104.0,106.0,Active
2,5,23,3,6,14,87.0,26.0,28.0,Active
2,6,21,21,27,4,16.0,168.0,170.0,Active
2,7,23,1,0,29,72.0,56.0,58.0,Active
2,8,27,10,25,9,27.0,146.0,148.0,Active
2,9,2,13,10,22,17.0,166.0,168.0,Active
2,10,31,28,15,19,56.0,88.0,90.0,Active
2,11,20,21,11,24,97.0,6.0,8.0,Active
2,12,2,17,18,1,75.0,50.0,52.0,Active
2,13,13,8,0,27,78.0,44.0,46.0,Active
2,14,11,24,29,8,74.0,52.0,54.0,Active
2,15,9,27,15,5,80.0,40.0,42.0,Active
2,16,28,15,22,16,55.0,90.0,92.0,Active
2,17,30,1,15,7,20.0,160.0,162.0,Active
2,18,23,14,29,20,85.0,30.0,32.0,Active
2,19,21,16,4,17,49.0,102.0,104.0,Active
2,20,22,12,28,31,54.0,92.0,94.0,Active
2,21,7,16,25,21,42.0,116.0,118.0,Active
2,22,27,26,0,30,25.0,150.0,152.0,Active
2,23,21,4,14,4,93.0,14.0,16.0,Active
2,24,18,14,13,28,80.0,40.0,42.0,Active
2,25,21,18,24,29,67.0,66.0,68.0,Active
2,26,16,10,27,7,45.0,110.0,112.0,Active
2,27,30,14,4,7,83.0,34.0,36.0,Active
2,28,22,15,21,6,58.0,84.0,86.0,Active
2,29,30,30,1,11,49.0,102.0,104.0,Active
2,30,30,27,4,18,49.0,102.0,104.0,Active
2,31,13,4,20,0,29.0,142.0,144.0,Active
2,32,2,14,31,25,17.0,166.0,168.0,Active
2,33,18,10,24,8,59.0,82.0,84.0,Active
2,34,11,15,12,10,89.0,22.0,24.0,Active
2,35,18,17,5,18,14.0,172.0,174.0,Active
2,36,24,21,0,26,87.0,26.0,28.0,Active
2,37,12,13,1,4,84.0,32.0,34.0,Active
2,38,17,6,6,2,34.0,132.0,134.0,Active
2,39,20,31,11,18,66.0,68.0,70.0,Active
2,40,7,23,13,5,24.0,152.0,154.0,Active
2,41,26,16,5,5,77.0,46.0,48.0,Active
2,42,3,7,9,22,72.0,56.0,58.0,Active
2,43,25,6,25,10,41.0,118.0,120.0,Active
2,44,24,24,18,31,15.0,170.0,172.0,Active
2,45,23,30,14,29,97.0,6.0,8.0,Active
2,46,11,6,27,0,49.0,102.0,104.0,Active
2,47,16,26,7,23,90.0,20.0,22.0,Active
2,48,28,20,30,20,70.0,60.0,62.0,Active
2,49,14,1,7,8,79.0,42.0,44.0,Active
3,0,10,8,7,18,16.5,167.0,170.0,Active
3,1,27,10,1,16,78.5,43.0,46.0,Active
3,2,10,2,13,21,67.5,65.0,68.0,Active
